Taille	TB	TS	TI	TR	TF	PS
1000	0.1156	0.0437	0.1218	0.0047	0.0078	0.0
2000	0.4905	0.1422	0.49	0.0047	0.0109	0.0
3000	1.1482	0.3187	0.9873	0.0094	0.0187	0.0
4000	2.1019	0.6115	1.7715	0.0109	0.0234	0.0
5000	3.2336	0.8929	2.7518	0.0219	0.0344	0.0
6000	4.7614	1.3653	3.9479	0.0203	0.0375	0.0016
7000	6.4062	1.8683	5.4408	0.0234	0.0437	0.0031
8000	8.3709	2.3651	7.0471	0.0359	0.0531	0.0016
9000	10.5629	2.9509	8.8428	0.0344	0.0547	0.0
10000	13.1861	3.6257	11.3022	0.0515	0.0796	0.0031
